death,count,descriptive_text,joinid,year,week_id,year_range,split_year
Tissick,5,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Tympany,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Twisting of the Guts,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Ulcer,1,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Vapours,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Vomiting,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Water in the Head,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Wen,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Wind,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Wolf,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Worms,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Abortive,1,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Overlaid,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Still-born,6,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Drowned,3,Two at St Dunstan at Stepney. And one in  the Thames at St Katharin by the Tower.,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Found Dead,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Executed,1,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Killed,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Suicide,,,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Other,1,Killed accidentally by a Fall from a Warehouse at St Botolph at Billingsgate 1.,10August17August1703,1703,1702-1703-35,1702-1703,1702/1703
Aged,28,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Ague,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Apoplexy,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Asthma,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Bed-ridden,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Blasted,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Bleeding,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Bloody-flux,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Calenture,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Cancer,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Canker,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Chicken Pox,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Child-Bed,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Chrisoms,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Cold,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Colick,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Consumption,65,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Convulsion,149,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Cough,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Cramp,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Diabetes,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Dropsie,18,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Falling-sickness,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Fever,72,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Fistula,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Flox and Small-Pox,29,flox 0; small-pox 29,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Flux,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
French-Pox,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Frets,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Gangreen,3,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Gout,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Gravel,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Grief,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Griping in the Guts,34,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Headache,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Headmouldshot,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Hooping Cough,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Hiccough,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Horshoehead,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Impostume,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Infants,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Inflammation,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Itch,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Jaundies,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Jaw-fallen,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Kings Evil,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Leprosie,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Lethargy,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Liver-grown,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Looseness,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Lunatick and Frenzy,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Malignant Fever,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Meagrim,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Measles,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Miscarriage,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Mortification,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Mother,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Noli me tangere,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Palsie,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Plague,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Planet,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Plurisie,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Purples,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Quinsie,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Rash,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Rheumatism,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Rickets,8,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Rising of the Lights,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Running of the Reins,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Rupture,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Scald Head,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Scarlet Fever,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Sciatica,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Scowring,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Scurvy,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Sores,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Shingles,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Spleen,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Spotted-Fever,3,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
St. Anthony's Fire,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Starved,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Stone,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Stopping of the Stomach,2,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Strangury,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Strongullion,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Suddenly,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Surfeit,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Swelling in the Throat,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Swine-Pox,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Teeth,29,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Thrush,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Tissick,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Tympany,1,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Twisting of the Guts,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Ulcer,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Vapours,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Vomiting,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Water in the Head,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Wen,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Wind,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Wolf,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Worms,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Abortive,3,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Overlaid,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Still-born,5,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Drowned,1,Drowned at St Dunstan at Stepney 1.,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Found Dead,1,Found dead a (Male Infant at St Clement Danes 1.,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Executed,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Killed,,,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Suicide,2,Threw themselves out at Window Two (being Lunatick) One at St Bennet Fink. And one at St Michael in Cornhill,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Other,1,Killed accidentally by a Fall from an House at St Clement Danes 1,17August24August1703,1703,1702-1703-36,1702-1703,1702/1703
Aged,18,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Ague,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Apoplexy,3,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Asthma,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Bed-ridden,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Blasted,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Bleeding,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Bloody-flux,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Calenture,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Cancer,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Canker,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Chicken Pox,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Child-Bed,6,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Chrisoms,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Cold,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Colick,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Consumption,57,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Convulsion,129,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Cough,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Cramp,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Diabetes,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Dropsie,18,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Falling-sickness,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Fever,84,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Fistula,2,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Flox and Small-Pox,26,flox 0; small-pox 26,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Flux,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
French-Pox,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Frets,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Gangreen,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Gout,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Gravel,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Grief,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Griping in the Guts,27,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Headache,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Headmouldshot,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Hooping Cough,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Hiccough,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Horshoehead,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Impostume,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Infants,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Inflammation,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Itch,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Jaundies,3,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Jaw-fallen,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Kings Evil,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Leprosie,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Lethargy,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Liver-grown,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Looseness,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Lunatick and Frenzy,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Malignant Fever,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Meagrim,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Measles,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Miscarriage,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Mortification,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Mother,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Noli me tangere,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Palsie,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Plague,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Planet,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Plurisie,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Purples,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Quinsie,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Rash,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Rheumatism,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Rickets,11,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Rising of the Lights,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Running of the Reins,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Rupture,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Scald Head,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Scarlet Fever,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Sciatica,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Scowring,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Scurvy,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Sores,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Shingles,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Spleen,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Spotted-Fever,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
St. Anthony's Fire,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Starved,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Stone,3,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Stopping of the Stomach,4,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Strangury,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Strongullion,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Suddenly,2,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Surfeit,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Swelling in the Throat,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Swine-Pox,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Teeth,25,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Thrush,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Tissick,3,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Tympany,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Twisting of the Guts,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Ulcer,2,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Vapours,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Vomiting,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Water in the Head,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Wen,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Wind,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Wolf,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Worms,1,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Abortive,2,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Overlaid,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Still-born,12,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Drowned,1,Drowned at St Mary at Rotherhith 1.,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Found Dead,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Executed,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Killed,1,Murthered at St Leonard in Shoreditch 1.,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Suicide,,,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Other,2,One by a Fall into a Cellar at Bennet at Paulswharf 1; And one by the Wheel of Cart at St Michael at Queenhith 1.,24August31August1703,1703,1702-1703-37,1702-1703,1702/1703
Aged,32,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Ague,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Apoplexy,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Asthma,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Bed-ridden,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Blasted,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Bleeding,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Bloody-flux,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Calenture,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Cancer,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Canker,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Chicken Pox,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Child-Bed,8,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Chrisoms,3,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Cold,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Colick,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Consumption,52,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Convulsion,132,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Cough,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Cramp,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Diabetes,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Dropsie,18,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Falling-sickness,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Fever,85,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Fistula,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Flox and Small-Pox,30,flox 0; small-pox 30,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Flux,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
French-Pox,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Frets,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Gangreen,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Gout,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Gravel,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Grief,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Griping in the Guts,29,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Headache,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Headmouldshot,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Hooping Cough,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Hiccough,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Horshoehead,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Impostume,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Infants,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Inflammation,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Itch,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Jaundies,4,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Jaw-fallen,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Kings Evil,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Leprosie,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Lethargy,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Liver-grown,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Looseness,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Lunatick and Frenzy,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Malignant Fever,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Meagrim,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Measles,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Miscarriage,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Mortification,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Mother,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Noli me tangere,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Palsie,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Plague,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Planet,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Plurisie,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Purples,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Quinsie,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Rash,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Rheumatism,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Rickets,3,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Rising of the Lights,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Running of the Reins,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Rupture,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Scald Head,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Scarlet Fever,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Sciatica,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Scowring,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Scurvy,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Sores,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Shingles,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Spleen,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Spotted-Fever,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
St. Anthony's Fire,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Starved,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Stone,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Stopping of the Stomach,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Strangury,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Strongullion,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Suddenly,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Surfeit,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Swelling in the Throat,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Swine-Pox,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Teeth,28,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Thrush,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Tissick,5,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Tympany,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Twisting of the Guts,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Ulcer,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Vapours,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Vomiting,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Water in the Head,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Wen,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Wind,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Wolf,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Worms,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Abortive,1,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Overlaid,2,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Still-born,8,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Drowned,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Found Dead,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Executed,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Killed,,,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Suicide,1,Hanged himself (being Lunatick) at St James at Clerkenwel 1.,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Other,1,Killed accidentally by a Fall from an House at St Andrew in Nolborn 1.,31August7September1703,1703,1702-1703-38,1702-1703,1702/1703
Aged,40,,7September14September1703,1703,1702-1703-39,1702-1703,1702/1703
Ague,,,7September14September1703,1703,1702-1703-39,1702-1703,1702/1703
Apoplexy,1,,7September14September1703,1703,1702-1703-39,1702-1703,1702/1703
